File,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_Return=OK,READ_0,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_0,UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_Return=OK,UPDATE_0,Workload,Write_Concern,DB_Type,Read_Preference,Threads,Target,Minutes,READ_1000,UPDATE_1000
8_writeConcern=majority_result_mongodb_workloadb_secondary_20241106_222359.json,1874,533.617930,2,12,0.640342,2,12,0.640342,939,3532.828541,554,115427,939,3532.828541,8,444.000000,1.000000,3536,444.000000,61,4638.606557,864,113523,61,4638.606557,workloadb,majority,mongodb,secondary,8,1000,0.300000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_nearest_20241106_185932.json,1209,827.129859,2,13,1.075269,2,13,1.075269,478,4826.368201,874,107201,478,4826.368201,8,603.625000,,4822,603.625000,522,4654.888889,961,99115,522,4654.888889,workloada,unacknowledged,mongodb,nearest,8,3000,0.100000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_secondary_20241106_185032.json,1338,747.384155,2,13,0.971599,2,13,0.971599,478,5042.646444,898,124363,478,5042.646444,8,388.750000,,3103,388.750000,522,5365.057471,888,142558,522,5365.057471,workloada,unacknowledged,mongodb,secondary,8,5000,0.300000,,
4_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_190816.json,1499,667.111408,2,13,0.867245,2,13,0.867245,519,3759.922929,856,112433,519,3759.922929,4,709.000000,1.000000,2828,709.000000,481,2929.112266,899,12666,481,2929.112266,workloada,acknowledged,mongodb,primary,4,10000,0.300000,,
2_writeConcern=unacknowledged_result_mongodb_workloadb_secondary_20241106_204455.json,1920,520.833333,2,11,0.572917,2,11,0.572917,948,2376.094937,473,179104,949,2437.939597,2,1534.000000,6.000000,3062,1534.000000,51,2305.960784,1030,13772,51,2305.960784,workloadb,unacknowledged,mongodb,secondary,2,3000,0.100000,1360.888889,
4_writeConcern=acknowledged_result_mongodb_workloadb_nearest_20241106_212851.json,1734,576.701269,2,11,0.634371,2,11,0.634371,947,3133.532207,604,122707,947,3126.881732,4,914.250000,2.000000,3647,914.250000,53,3647.584906,1008,32778,53,3647.584906,workloadb,acknowledged,mongodb,nearest,4,1000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_213838.json,1819,549.752611,2,10,0.549753,2,10,0.549753,957,2341.928945,525,197988,957,2360.011727,2,1843.000000,7.000000,3679,1843.000000,43,2645.441860,764,22991,43,2645.441860,workloadb,journaled,mongodb,primary,2,10000,0.300000,1449.210526,
2_writeConcern=majority_result_mongodb_workloada_secondary_20241106_201440.json,1592,628.140704,2,11,0.690955,2,11,0.690955,493,1584.896552,589,16060,498,1568.629032,2,2450.000000,6.000000,4894,2450.000000,501,1944.017964,609,110605,502,1940.830677,workloada,majority,mongodb,secondary,2,3000,0.500000,,
8_writeConcern=journaled_result_mongodb_workloada_primary_20241106_194114.json,1574,635.324015,2,13,0.825921,2,13,0.825921,495,6642.084848,839,160429,495,6642.084848,8,651.000000,,5201,651.000000,505,5668.764356,891,166478,505,5668.764356,workloada,journaled,mongodb,primary,8,5000,0.300000,,
2_writeConcern=unacknowledged_result_mongodb_workloadb_primary_20241106_203603.json,2048,488.281250,2,18,0.878906,2,18,0.878906,946,2415.285412,363,152703,946,2659.650510,2,991.500000,7.000000,1976,991.500000,54,3078.629630,683,35202,54,3268.897959,workloadb,unacknowledged,mongodb,primary,2,5000,0.500000,1232.679012,1214.000000
8_writeConcern=majority_result_mongodb_workloada_primary_20241106_201258.json,1488,672.043011,2,17,1.142473,2,17,1.142473,502,6635.838645,983,137124,502,6635.838645,8,1297.375000,,10370,1297.375000,498,5064.967871,970,149432,498,5064.967871,workloada,majority,mongodb,primary,8,10000,0.500000,,
2_writeConcern=unacknowledged_result_mongodb_workloadb_nearest_20241106_205514.json,2052,487.329435,2,13,0.633528,2,13,0.633528,941,2538.239107,734,207997,947,2715.412776,2,1852.000000,5.000000,3699,1852.000000,53,2738.283019,980,33226,53,2829.380000,workloadb,unacknowledged,mongodb,nearest,2,3000,0.100000,1384.070866,1220.000000
8_writeConcern=unacknowledged_result_mongodb_workloadb_primary_20241106_204039.json,1832,545.851528,2,13,0.709607,2,13,0.709607,946,5941.310782,824,221291,946,5941.310782,8,1022.875000,,8171,1022.875000,54,5691.333333,1081,41470,54,5691.333333,workloadb,unacknowledged,mongodb,primary,8,1000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_213746.json,1963,509.424350,2,11,0.560367,2,11,0.560367,945,2360.998942,689,130003,951,2367.100342,2,1514.000000,7.000000,3021,1514.000000,49,2403.306122,974,16602,49,2423.739130,workloadb,journaled,mongodb,primary,2,5000,0.300000,2092.802817,2090.000000
2_writeConcern=unacknowledged_result_mongodb_workloadb_nearest_20241106_205640.json,1885,530.503979,2,15,0.795756,2,15,0.795756,953,2297.970619,558,190237,962,2279.513089,2,1479.500000,7.000000,2952,1479.500000,38,2187.947368,1021,15641,38,2187.947368,workloadb,unacknowledged,mongodb,nearest,2,5000,0.500000,,
8_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_191139.json,1426,701.262272,2,12,0.841515,2,12,0.841515,501,5746.143713,1015,149482,501,5746.143713,8,572.500000,,4571,572.500000,499,5141.911824,1010,147008,499,5141.911824,workloada,acknowledged,mongodb,primary,8,10000,0.300000,,
4_writeConcern=unacknowledged_result_mongodb_workloadb_secondary_20241106_204857.json,1646,607.533414,2,12,0.729040,2,12,0.729040,949,3480.460485,867,157400,950,3476.796842,4,1896.000000,1.000000,7575,1896.000000,50,6417.620000,1085,158698,50,6417.620000,workloadb,unacknowledged,mongodb,secondary,4,3000,0.500000,,
2_writeConcern=unacknowledged_result_mongodb_workloadb_primary_20241106_203546.json,1842,542.888165,2,14,0.760043,2,14,0.760043,949,2175.770285,593,103917,949,2213.156455,2,1676.000000,6.000000,3346,1676.000000,51,2253.764706,1001,15956,51,2272.700000,workloadb,unacknowledged,mongodb,primary,2,5000,0.300000,1199.457143,1307.000000
2_writeConcern=acknowledged_result_mongodb_workloadb_primary_20241106_210718.json,1948,513.347023,2,12,0.616016,2,12,0.616016,943,2504.340403,743,107411,949,2523.783920,2,2104.000000,8.000000,4200,2104.000000,51,2706.333333,987,14696,51,2781.954545,workloadb,acknowledged,mongodb,primary,2,10000,0.100000,2390.027211,2231.000000
4_writeConcern=unacknowledged_result_mongodb_workloadb_nearest_20241106_205933.json,1812,551.876380,2,10,0.551876,2,10,0.551876,955,4149.615707,687,192138,955,4149.615707,4,3984.250000,,15928,3984.250000,45,4486.777778,1056,29021,45,4486.777778,workloadb,unacknowledged,mongodb,nearest,4,5000,0.100000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_secondary_20241106_184925.json,1152,868.055556,2,11,0.954861,2,11,0.954861,499,4874.819639,1003,89874,499,4874.819639,8,644.000000,,5145,644.000000,501,4021.900200,779,84830,501,4021.900200,workloada,unacknowledged,mongodb,secondary,8,3000,0.100000,,
8_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_214439.json,1539,649.772580,2,13,0.844704,2,13,0.844704,949,5875.804004,866,121808,949,5875.804004,8,658.500000,,5263,658.500000,51,6039.862745,1222,26525,51,6039.862745,workloadb,journaled,mongodb,primary,8,5000,0.300000,,
4_writeConcern=majority_result_mongodb_workloadb_secondary_20241106_222234.json,1635,611.620795,2,10,0.611621,2,10,0.611621,951,3177.827550,646,161845,951,3177.827550,4,1014.250000,1.000000,4049,1014.250000,49,3389.142857,899,30768,49,3389.142857,workloadb,majority,mongodb,secondary,4,5000,0.500000,,
2_writeConcern=acknowledged_result_mongodb_workloada_secondary_20241106_191230.json,1645,607.902736,2,13,0.790274,2,13,0.790274,512,2013.050781,665,97799,512,2019.611328,2,1328.500000,17.000000,2640,1328.500000,488,1947.491803,700,97543,488,1947.491803,workloada,acknowledged,mongodb,secondary,2,1000,0.300000,,
4_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_212122.json,1582,632.111252,2,12,0.758534,2,12,0.758534,947,3641.594509,787,172241,954,3635.889357,4,1570.750000,,6274,1570.750000,46,3492.586957,983,31586,46,3492.586957,workloadb,acknowledged,mongodb,secondary,4,10000,0.300000,,
2_writeConcern=majority_result_mongodb_workloada_primary_20241106_200336.json,1602,624.219725,2,11,0.686642,2,11,0.686642,500,1709.614000,555,21727,500,1709.614000,2,2099.000000,7.000000,4191,2099.000000,500,1984.046000,572,106261,500,1984.046000,workloada,majority,mongodb,primary,2,1000,0.500000,,
8_writeConcern=unacknowledged_result_mongodb_workloadb_primary_20241106_204147.json,1444,692.520776,2,13,0.900277,2,13,0.900277,948,5695.139241,892,131197,948,5701.153115,8,840.875000,,6719,840.875000,52,6175.461538,1112,54150,52,6175.461538,workloadb,unacknowledged,mongodb,primary,8,3000,0.300000,,
4_writeConcern=unacknowledged_result_mongodb_workloada_nearest_20241106_185537.json,1573,635.727908,2,11,0.699301,2,11,0.699301,498,2814.504016,689,83600,498,2814.504016,4,2185.750000,,8735,2185.750000,502,2761.745020,782,82359,502,2761.745020,workloada,unacknowledged,mongodb,nearest,4,1000,0.300000,,
2_writeConcern=journaled_result_mongodb_workloada_nearest_20241106_195523.json,1726,579.374276,2,16,0.926999,2,16,0.926999,475,2268.970526,587,172144,476,2264.102941,2,1917.000000,10.000000,3824,1917.000000,523,1614.827916,518,20623,524,1609.729008,workloada,journaled,mongodb,nearest,2,10000,0.100000,,
2_writeConcern=acknowledged_result_mongodb_workloadb_primary_20241106_210700.json,1792,558.035714,2,14,0.781250,2,14,0.781250,957,2130.864159,732,111753,957,2187.743792,2,2761.000000,509.000000,5013,2761.000000,43,5067.697674,921,107998,43,5350.307692,workloadb,acknowledged,mongodb,primary,2,5000,0.500000,1421.070423,2312.250000
2_writeConcern=acknowledged_result_mongodb_workloadb_secondary_20241106_211554.json,2017,495.785821,2,16,0.793257,2,16,0.793257,953,2443.124869,580,123039,953,2686.910761,2,1177.000000,7.000000,2347,1177.000000,47,3257.319149,1015,47822,47,3330.634146,workloadb,acknowledged,mongodb,secondary,2,3000,0.100000,1470.534031,2756.333333
2_writeConcern=journaled_result_mongodb_workloada_secondary_20241106_194512.json,1620,617.283951,2,12,0.740741,2,12,0.740741,492,1544.349593,553,12280,492,1544.349593,2,2005.000000,7.000000,4003,2005.000000,508,1983.395669,672,102818,508,1983.395669,workloada,journaled,mongodb,secondary,2,10000,0.100000,,
8_writeConcern=majority_result_mongodb_workloadb_secondary_20241106_222558.json,1258,794.912560,2,12,0.953895,2,12,0.953895,948,4630.699367,909,113360,948,4630.699367,8,453.625000,,3623,453.625000,52,4500.884615,985,34784,52,4500.884615,workloadb,majority,mongodb,secondary,8,5000,0.500000,,
8_writeConcern=acknowledged_result_mongodb_workloadb_nearest_20241106_213419.json,1668,599.520384,2,12,0.719424,2,12,0.719424,950,7638.152632,1020,290080,950,7645.481053,8,884.750000,,7071,884.750000,50,6810.240000,1300,43032,50,6810.240000,workloadb,acknowledged,mongodb,nearest,8,5000,0.300000,,
8_writeConcern=majority_result_mongodb_workloada_nearest_20241106_203203.json,1666,600.240096,2,15,0.900360,2,15,0.900360,498,7544.833333,1026,182791,498,7544.833333,8,1421.250000,,11362,1421.250000,502,6208.878486,1128,181235,502,6208.878486,workloada,majority,mongodb,nearest,8,5000,0.100000,,
2_writeConcern=journaled_result_mongodb_workloadb_secondary_20241106_214638.json,1741,574.382539,2,15,0.861574,2,15,0.861574,954,2228.692872,634,163402,959,2220.075314,2,1434.500000,6.000000,2863,1434.500000,41,2439.853659,931,13257,41,2439.853659,workloadb,journaled,mongodb,secondary,2,1000,0.500000,799.000000,
8_writeConcern=journaled_result_mongodb_workloadb_nearest_20241106_220545.json,1609,621.504040,2,18,1.118707,2,18,1.118707,955,6761.201047,789,192081,955,6761.201047,8,663.375000,,5294,663.375000,45,7721.133333,1223,44029,45,7721.133333,workloadb,journaled,mongodb,nearest,8,10000,0.100000,,
8_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_214456.json,1568,637.755102,2,12,0.765306,2,12,0.765306,944,5591.025424,1007,145768,944,5591.025424,8,604.000000,,4827,604.000000,56,7276.571429,1178,146907,56,7276.571429,workloadb,journaled,mongodb,primary,8,5000,0.500000,,
8_writeConcern=journaled_result_mongodb_workloadb_nearest_20241106_220402.json,1561,640.614990,2,11,0.704676,2,11,0.704676,954,6333.084906,975,205149,954,6333.084906,8,448.375000,,3580,448.375000,46,5647.543478,1103,50618,46,5647.543478,workloadb,journaled,mongodb,nearest,8,3000,0.100000,,
